Instances,Source,algo_Hi_PR,algo_PAR,algo_P2R,algo_Pseudo_Hi_FIFO,feature_Order,feature_Size,feature_AvNdDgr,feature_AVScPotNetExcess,feature_CVAvNdDg,feature_ScCapDens
AK_n177146_C100000(Pool),AK,11.039,34.787,21.916,6.238,177146,265717,1.5,3.40E-05,70.1454,4.00E-06
AK_n177146_C10000(Pool),AK,0.011,12.573,8.17,0.19,177146,265717,1.5,2.50E-05,70.1454,1.00E-05
AK_n177146_C1500000(Pool),AK,11.187,23.63,15.911,4.578,177146,265717,1.5,0.000645,70.1454,0
AK_n19682_C1500000(Pool),AK,0.138,0.214,0.146,0.04,19682,29521,1.4999,0.049526,23.3748,0
AK_n19682_C4000000(Pool),AK,0.135,0.225,0.146,0.039,19682,29521,1.4999,0.11908,23.3748,0
AK_n19682_C7500000(Pool),AK,0.134,0.212,0.157,0.039,19682,29521,1.4999,0.19608,23.3748,0
AK_n2186_C200000(Pool),AK,0.002,0.003,0.003,0,2186,3277,1.4991,0.32528,7.7705,4.00E-06
AK_n2186_C20000(Pool),AK,0.002,0.002,0.003,0,2186,3277,1.4991,0.05273,7.7705,2.40E-05
AK_n2186_C350000(Pool),AK,0.002,0.002,0.003,0,2186,3277,1.4991,0.42967,7.7705,3.00E-06
AK_n2186_C50000(Pool),AK,0.002,0.002,0.003,0,2186,3277,1.4991,0.12009,7.7705,1.00E-05
AK_n279838_C1000000(Pool),AK,42.884,171.512,55.614,32.346,279838,419755,1.5,0.000169,88.1643,0
AK_n279838_C100000(Pool),AK,41.882,137.032,74.587,13.776,279838,419755,1.5,1.10E-05,88.1643,4.00E-06
AK_n371290_C1000000(Pool),AK,49.201,176.497,92.246,29.378,371290,556933,1.5,9.50E-05,101.5543,0
AK_n371290_C100000(Pool),AK,49.263,204.592,82.284,23.592,371290,556933,1.5,5.00E-06,101.5543,4.00E-06
AK_n371290_C500000(Pool),AK,60.023,176.639,128.878,22.881,371290,556933,1.5,4.50E-05,101.5543,1.00E-06
AK_n390622_C10000(Pool),AK,0.021,41.328,21.112,0.189,390622,585931,1.5,1.20E-05,104.1646,4.00E-06
AK_n43046718_C100k(Pool),AK,2.312,49906.23,24893.881,30.408,43046718,64570075,1.5,0,1093.4998,0
AK_n531438_C1500000(Pool),AK,138.506,394.042,216.339,82.464,531438,797155,1.5,7.00E-05,121.4982,0
AK_n531438_C3500000(Pool),AK,131.26,436.214,165.101,48.267,531438,797155,1.5,0.000167,121.4982,0
AK_n5764798_C100k(Pool),AK,0.328,6364.987,3459.517,33.7,5764798,8647195,1.5,1.00E-06,400.1661,0
AK_n6558_C1000000(Pool),AK,0.015,0.02,0.017,0.005,6558,9835,1.4997,0.22373,13.4842,1.00E-06
AK_n6558_C100000(Pool),AK,0.015,0.021,0.017,0.004,6558,9835,1.4997,0.030365,13.4842,5.00E-06
